"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 11:26:50 IST 2023","Tue Nov 07 11:27:03 IST 2023","13330","","","","","","Leaderboard_Reward/Rewards_UI/Leaderboard_UI_User",""
"broken","Tue Nov 07 10:51:22 IST 2023","Tue Nov 07 10:51:44 IST 2023","21820","","","","","","Leaderboard_Reward/Rewards_UI/Leaderboard_UI_Admin",""
"passed","Tue Nov 07 11:26:50 IST 2023","Tue Nov 07 11:28:32 IST 2023","101500","","","","","","Leaderboard_Reward/Rewards_UI/Leaderboard_UI_Admin",""
"broken","Mon Nov 06 17:27:16 IST 2023","Mon Nov 06 17:27:37 IST 2023","21200","","","","","","Leaderboard_Reward/Rewards_UI/Leaderboard_UI_Automation",""
"broken","Mon Nov 06 17:57:01 IST 2023","Mon Nov 06 17:57:44 IST 2023","42780","","","","","","Leaderboard_Reward/Rewards_UI/demo",""
"passed","Mon Nov 06 17:57:01 IST 2023","Mon Nov 06 17:57:13 IST 2023","12350","","","","","","Leaderboard_Reward/Rewards_UI/Leaderboard_UI_Automation",""
"broken","Tue Nov 07 10:59:15 IST 2023","Tue Nov 07 10:59:52 IST 2023","37060","","","","","","Leaderboard_Reward/Rewards_UI/Leaderboard_UI_User",""
